step	depth	row	col	cands	cs	val
1	0	3	9	4	41	6	12345678|3456789|3456789|123456789|12345678|123456789|123456789|12345678|123456789|12345678|12345678|456789|12345678|3456789|123456789|12345678|123456|123456|12345678|12345678|123456789|123456|123456789|23456789|3456789|123456|789|123456789|23456789|12345678|123456789|1234567|12345678|123456789|123456789|123456789|3456789|12345678|12345678|12345678|23456789|1234567|12345678|23456789|123456789|123456789|3456789|12345678|123456789|123456789|12345678|12345678|12345678|123456789|3456789|23456789|12345678|12345678|12345678|12345678|12345678|23456789|123456789|12345678|12345678|123456789|123456789|123456789|123456789|3456789|12345678|12345678|12345678|12345678|3456789|6789|123456|123456|123456|123456789|123456789
2	1	2	8	3	41	1	12345678|3456789|3456789|123456789|12345678|123456789|12345789|1234578|12345789|12345678|12345678|456789|12345678|3456789|123456789|1234578|23|123|1234578|1234578|12345789|12345|12345789|2345789|345789|123|6|123456789|23456789|12345678|123456789|1234567|12345678|123456789|123456789|12345789|3456789|12345678|12345678|12345678|23456789|1234567|12345678|23456789|12345789|123456789|3456789|12345678|123456789|123456789|12345678|12345678|12345678|12345789|3456789|23456789|12345678|12345678|12345678|12345678|12345678|23456789|12345789|12345678|12345678|123456789|123456789|123456789|123456789|3456789|12345678|1234578|12345678|12345678|3456789|6789|123456|123456|123456|123456789|12345789
3	2	2	9	2	41	2	1234567|3456789|3456789|123456789|1234567|123456789|2345789|23457|2345789|2345678|2345678|456789|2345678|3456789|23456789|23457|1|3|123457|1234578|12345789|12345|12345789|2345789|5789|23|6|123456789|23456789|12345678|123456789|1234567|12345678|123456789|23456789|12345789|3456789|12345678|12345678|12345678|23456789|1234567|12345678|3456789|12345789|123456789|3456789|12345678|123456789|123456789|12345678|12345678|2345678|12345789|3456789|23456789|12345678|12345678|12345678|12345678|1234567|23456789|12345789|12345678|12345678|123456789|123456789|123456789|123456789|3456789|2345678|123457|12345678|12345678|3456789|6789|123456|123456|123456|23456789|12345789
4	3	3	8	1	41	3
5	4	3	7	1	42	9
6	5	1	8	2	42	4	123456|4569|4569|1234569|123456|1234569|4578|5|4578|34578|345678|456789|345678|456789|3456789|45|1|2|1245|124578|124578|1245|124578|24578|9|3|6|123456789|23456789|12345678|123456789|1234567|1234567|12345678|2456789|1345789|3456789|12345678|12345678|12345678|23456789|1234567|1234567|456789|1345789|123456789|3456789|12345678|123456789|123456789|12345678|12345678|245678|1345789|3456789|23456789|12345678|12345678|12345678|12345678|1234567|2456789|1345789|12345678|12345678|123456789|123456789|123456789|123456789|35678|24567|1345|12345678|12345678|3456789|6789|123456|123456|123456|2456789|1345789
7	6	2	7	1	42	5
8	7	1	2	3	42	5	12356|69|569|123569|12356|123569|78|4|78|3478|34678|46789|34678|46789|346789|5|1|2|125|124578|124578|1245|124578|24578|9|3|6|123456789|23456789|12345678|123456789|1234567|1234567|1234678|256789|1345789|3456789|12345678|12345678|12345678|23456789|1234567|123467|56789|1345789|123456789|3456789|12345678|123456789|123456789|12345678|1234678|25678|1345789|3456789|23456789|12345678|12345678|12345678|12345678|123467|256789|1345789|12345678|12345678|123456789|123456789|123456789|123456789|3678|2567|1345|12345678|12345678|3456789|6789|123456|123456|12346|256789|1345789
9	8	2	1	2	42	3
10	9	3	1	1	42	2
